 ,總指數,總指數(不含土石採取業),礦業及土石採取業,製造業,金屬機電工業,資訊電子工業,化學工業,民生工業,電力及燃氣供應業,用水供應業
2004M05,14.48,14.55,-4.48,15.08,29.08,4.77,13.67,2.94,10.92,0.36
2004M06,14.97,15.02,2.82,15.89,31.53,6.96,9.28,7.8,8.16,2.3
2004M07,8.01,8.03,1.16,9.28,26.37,0.39,3.08,-2.34,-2.31,-2.8
2004M08,7.27,7.31,-3.39,8.39,25.63,-2.59,6.68,-1.72,0.03,-1.28
2004M09,8.3,8.29,0.27,9.08,27.2,-5.27,10.65,0.26,0.72,-1.62
2004M10,3.13,3.16,1.68,3.33,18.11,-9.35,6.8,-5.25,-2.09,1.72
2004M11,5.67,5.6,2.97,5.72,22.71,-6.21,5.59,-0.11,1.24,1.5
2004M12,-0.63,-0.72,5.46,-1.05,12.87,-11.11,-4.58,-6.43,1.42,2.47
2005M01,15.04,14.95,9.57,15.35,20.38,22.01,5.56,11.02,8.49,3.59
2005M02,-11.94,-11.95,-24.47,-12.2,-14.07,-5.23,-10.48,-22.41,-3.53,1.79
2005M03,1.77,1.67,11.29,1.61,3.19,7.08,-2.39,-4.03,3.62,2.78
2005M04,1.62,1.58,-1.02,1.51,-0.82,9.61,-0.6,-2.73,5.84,1.98
2005M05,0.55,0.53,-12.49,0.67,0.05,9.37,-2.93,-6.21,1.36,-5.8
2005M06,2.22,2.31,-18.74,2.33,-0.65,14.64,-1.02,-5.79,3.51,-0.28
2005M07,0.11,0.15,-18.97,0.14,-7.78,16.21,-0.97,-5.36,3.97,0.71
2005M08,6.08,6.07,-5.83,6.28,-2,27.23,0.33,1.21,4.14,0.22
2005M09,5.3,5.29,-5.24,5.44,-4.59,26.59,1.68,-0.12,3.79,0.5
2005M10,5.42,5.43,-14.98,5.42,-4.02,25.6,1.64,-0.78,10.07,-0.54
2005M11,5.6,5.71,-15.74,5.86,-3.41,24.73,2.38,-0.22,4.74,0.57
2005M12,6.29,6.37,-12.95,6.51,-2.93,29.08,2.31,-2.2,4.99,0.99
2006M01,2.22,2.25,-12.63,2.39,-5.85,21.96,-1.19,-5.25,0.79,1.3
2006M02,14.09,14.1,1.03,14.64,8.76,38,3.31,5.47,3.54,-0.02
2006M03,6.5,6.54,-6.43,6.84,1.24,27.45,-1.48,-1.99,0.05,1.82
2006M04,5.09,5.08,-2.48,5.25,-0.74,23.27,1.18,-6.5,2.29,2.13
2006M05,7.42,7.47,3.13,7.67,0.2,22.78,5.92,0.74,0.64,8.41
2006M06,4.99,4.94,1.9,5.16,0.26,14.66,4.04,0.02,1.32,2.31
2006M07,6.89,6.88,3.68,7.02,5.99,16.81,0.99,-0.02,4.78,4.35
2006M08,5.08,5.09,-7.71,5.15,5.58,13.91,-1.61,-2.38,4.75,3.93
2006M09,3.07,3.12,-9.43,3.15,2.41,12.85,-4.29,-3.68,2.57,2.94
2006M10,0.95,0.97,-2.76,1.01,0.63,10.11,-8.61,-1.67,0.87,3.4
2006M11,1.24,1.26,-6.85,1.22,0,6.94,-2.38,-2.84,3.38,1.82
2006M12,-1.38,-1.34,-16.18,-1.5,-0.74,-1.59,-1.21,-3.68,4.7,1.61
2007M01,6.25,6.37,-19.6,6.47,7.67,9.92,2.53,2.61,6.19,1.14
2007M02,-5.21,-5.13,-25.7,-5.34,-7.82,-5.26,-2.95,-3.68,1.2,2.71
2007M03,0.69,0.81,-22.27,0.72,-2.84,4.25,2.16,-0.97,5.51,1
